#п/п;Заказчик;URL;Наименование;URL;Способ_закупки;Единица_измерения;Кол-во;Цена_за_ед.;Плановая_сумма;Планируемый_срок_закупки;Статус
83067407;;https://goszakup.gov.kz/ru/registry/show_supplier/2270;Картридж;https://goszakup.gov.kz/ru/registry/show_plan/86437013/4718047;Электронный магазин;Штука;40;2 000.00;80 000.00;Апрель;Опубликован
83793144;;https://goszakup.gov.kz/ru/registry/show_supplier/79294;Мешок;https://goszakup.gov.kz/ru/registry/show_plan/86437012/4717376;Запрос ценовых предложений;Рулон;5;1 000.00;5 000.00;Апрель;Опубликован
86437003;;https://goszakup.gov.kz/ru/registry/show_supplier/15565;Полотенце;https://goszakup.gov.kz/ru/registry/show_plan/86437003/4717790;Электронный магазин;Штука;25;536.00;13 400.00;Апрель;Утвержден
82752860;;https://goszakup.gov.kz/ru/registry/show_supplier/14961;Топливо дизельное;https://goszakup.gov.kz/ru/registry/show_plan/86437001/4717928;Запрос ценовых предложений;Литр (куб. дм.);1;0.10;0.10;Январь;Утвержден
82316763;;https://goszakup.gov.kz/ru/registry/show_supplier/22315;Услуги по техническому обслуживанию климатического (кондиционерного) оборудования и систем/вентиляционных систем и оборудования;https://goszakup.gov.kz/ru/registry/show_plan/86437000/4718034;Запрос ценовых предложений;Одна услуга;1;130 000.00;130 000.00;Апрель;Заявка
86436999;;https://goszakup.gov.kz/ru/registry/show_supplier/50046;Колер;https://goszakup.gov.kz/ru/registry/show_plan/86436999/4715312;Запрос ценовых предложений;Бутылка;50;1 055.00;52 750.00;Апрель;Утвержден
86430636;;https://goszakup.gov.kz/ru/registry/show_supplier/93897;Банан;https://goszakup.gov.kz/ru/registry/show_plan/86436993/4718045;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;60;964.66;57 879.60;Апрель;Проект договора
86270712;ГКП на ПХВ "Школа-гимназия №69 имени Кемеля Акишева" акимата города Астаны.;https://goszakup.gov.kz/ru/registry/show_supplier/8571;Клей;https://goszakup.gov.kz/ru/registry/show_plan/86436991/4715229;Запрос ценовых предложений;Штука;2;3 700.00;7 400.00;Апрель;Утвержден
82754159;;https://goszakup.gov.kz/ru/registry/show_supplier/14961;Топливо дизельное;https://goszakup.gov.kz/ru/registry/show_plan/86436990/4717928;Запрос ценовых предложений;Литр (куб. дм.);1;0.10;0.10;Январь;Утвержден
86436984;;https://goszakup.gov.kz/ru/registry/show_supplier/15565;Мыло;https://goszakup.gov.kz/ru/registry/show_plan/86436984/4717790;Электронный магазин;Штука;5;1 500.00;7 500.00;Апрель;Утвержден
86436981;;https://goszakup.gov.kz/ru/registry/show_supplier/12242;Порошок;https://goszakup.gov.kz/ru/registry/show_plan/86436981/4717729;Электронный магазин;Штука;73;10 000.00;730 000.00;Апрель;Утвержден
82756394;;https://goszakup.gov.kz/ru/registry/show_supplier/14961;Топливо дизельное;https://goszakup.gov.kz/ru/registry/show_plan/86436977/4717928;Запрос ценовых предложений;Литр (куб. дм.);1;0.10;0.10;Март;Утвержден
86436637;;https://goszakup.gov.kz/ru/registry/show_supplier/27728;Услуги по технической поддержке лицензионного программного обеспечения;https://goszakup.gov.kz/ru/registry/show_plan/86436972/4718042;Из одного источника путем прямого заключения договора;Одна услуга;1;2 000 000.00;2 000 000.00;Апрель;Проект договора
82173441;;https://goszakup.gov.kz/ru/registry/show_supplier/14961;Топливо дизельное;https://goszakup.gov.kz/ru/registry/show_plan/86436970/4717928;Запрос ценовых предложений;Литр (куб. дм.);1;0.10;0.10;Январь;Утвержден
86436969;;https://goszakup.gov.kz/ru/registry/show_supplier/15565;Нить;https://goszakup.gov.kz/ru/registry/show_plan/86436969/4717790;Электронный магазин;Штука;10;1 000.00;10 000.00;Апрель;Утвержден
82316764;;https://goszakup.gov.kz/ru/registry/show_supplier/22315;Услуги учреждений санитарно-эпидемиологической службы;https://goszakup.gov.kz/ru/registry/show_plan/86436966/4718034;Запрос ценовых предложений;Одна услуга;1;141 341.00;141 341.00;Май;Утвержден
86436958;;https://goszakup.gov.kz/ru/registry/show_supplier/15565;Стикер;https://goszakup.gov.kz/ru/registry/show_plan/86436958/4717790;Электронный магазин;Упаковка;20;200.00;4 000.00;Апрель;Утвержден
86436947;;https://goszakup.gov.kz/ru/registry/show_supplier/11440;Масло моторное;https://goszakup.gov.kz/ru/registry/show_plan/86436947/4715557;Запрос ценовых предложений;Литр (куб. дм.);410;2 180.00;893 800.00;Апрель;Утвержден
86436946;ГУ "Управление архитектуры и градостроительства Алматинской области";https://goszakup.gov.kz/ru/registry/show_supplier/59405;Работы по проведению экспертиз/испытаний/тестирований;https://goszakup.gov.kz/ru/registry/show_plan/86436946/4716341;Из одного источника путем прямого заключения договора;Работа;1;3 381 142.00;3 381 142.00;Апрель;Утвержден
86436945;;https://goszakup.gov.kz/ru/registry/show_supplier/15565;Бумага;https://goszakup.gov.kz/ru/registry/show_plan/86436945/4717790;Электронный магазин;Штука;10;600.00;6 000.00;Апрель;Утвержден
86436939;КГУ "Детско-юношеская спортивная школа села Тенге" Управления физической культуры и спорта Мангистауской области;https://goszakup.gov.kz/ru/registry/show_supplier/702417;Урна мусорная;https://goszakup.gov.kz/ru/registry/show_plan/86436939/4718039;Электронный магазин;Штука;40;12 000.00;480 000.00;Апрель;Утвержден
